rank,concept,target_class,p_raw,bh_critical,p_adj_bh,significant_after_bh
1,streaks_regular,NV,1.65105e-12,0.005555555555555556,1.485945e-11,True
2,blue_whitish_veil,MEL,9.36624e-11,0.011111111111111112,4.214808e-10,True
3,pigment_network_typical,NV,2.68424e-09,0.016666666666666666,8.05272e-09,True
4,streaks_irregular,MEL,1.39959e-06,0.022222222222222223,3.1490775e-06,True
5,pigmentation,MEL,0.00115501,0.02777777777777778,0.0020790179999999998,True
6,dots_and_globules_regular,NV,0.00287204,0.03333333333333333,0.00430806,True
7,pigment_network_atypical,MEL,0.0197232,0.03888888888888889,0.0253584,True
8,regression_structures,MEL,0.0656692,0.044444444444444446,0.07387785,False
9,dots_and_globules_irregular,MEL,0.202589,0.05,0.202589,False
